Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Argentina,0,1,1,2
Australia,13,8,14,35
Austria,0,0,2,2
Bahamas,0,0,1,1
Belgium,0,2,0,2
Brazil,1,0,0,1
Bulgaria,1,3,1,5
Canada,2,1,2,5
Chile,0,2,2,4
Czechoslovakia,1,4,1,6
Denmark,1,1,1,3
Finland,3,1,11,15
France,4,4,6,14
Germany,4,10,6,20
Great Britain,5,7,9,21
Greece,0,0,1,1
Hungary,9,10,7,26
Iceland,0,1,0,1
India,1,0,0,1
Ireland,1,1,3,5
Islamic Republic of Iran,2,2,1,5
Italy,8,6,8,22
Japan,4,10,5,19
Mexico,1,0,1,2
New Zealand,2,0,0,2
Norway,1,0,2,3
Pakistan,0,1,0,1
Poland,1,4,4,9
Republic of Korea,0,1,1,2
Romania,5,3,5,13
South Africa,0,0,4,4
Sweden,5,5,6,16
Türkiye,3,2,2,7
USSR,37,29,32,98
United States of America,32,25,17,74
Uruguay,0,0,1,1
Yugoslavia,0,3,0,3
