Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Argentina,0,0,2,2
Australia,5,7,5,17
Austria,0,2,2,4
Belgium,0,1,1,2
Brazil,0,1,2,3
Bulgaria,2,4,3,9
Cameroon,0,1,0,1
Canada,1,3,1,5
Chinese Taipei,0,0,1,1
Cuba,0,4,0,4
Czechoslovakia,7,2,4,13
Denmark,1,4,3,8
Ethiopia,1,1,0,2
Federal Republic of Germany,5,11,10,26
Finland,1,2,1,4
France,7,3,5,15
German Democratic Republic (Germany),9,9,7,25
Great Britain,5,5,3,13
Greece,0,0,1,1
Hungary,10,10,12,32
India,0,0,1,1
Islamic Republic of Iran,2,1,2,5
Italy,3,4,9,16
Jamaica,0,1,0,1
Japan,11,7,7,25
Kenya,3,4,2,9
Mexico,3,3,3,9
Mongolia,0,1,3,4
Netherlands,3,3,1,7
New Zealand,1,0,2,3
Norway,1,1,0,2
Pakistan,1,0,0,1
Poland,5,2,11,18
Republic of Korea,0,1,1,2
Romania,4,6,5,15
Sweden,2,1,1,4
Switzerland,0,1,4,5
Tunisia,1,0,1,2
Türkiye,2,0,0,2
USSR,29,32,30,91
Uganda,0,1,1,2
United States of America,45,28,34,107
Venezuela,1,0,0,1
Yugoslavia,3,3,2,8
