Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Argentina,3,1,0,4
Australia,3,1,1,5
Austria,1,1,3,5
Belgium,0,0,1,1
Canada,2,5,9,16
Czechoslovakia,1,3,2,6
Denmark,0,5,3,8
Finland,5,8,12,25
France,11,5,4,20
Germany,5,12,7,24
Great Britain,5,7,5,17
Hungary,6,5,5,16
India,1,0,0,1
Ireland,2,0,0,2
Italy,12,12,12,36
Japan,7,7,4,18
Latvia,0,1,0,1
Mexico,0,2,0,2
Netherlands,2,5,1,8
New Zealand,0,1,0,1
Philippines,0,0,3,3
Poland,3,2,4,9
South Africa,2,0,3,5
Spain,0,0,1,1
Sweden,10,5,9,24
Switzerland,0,1,0,1
United States of America,44,36,30,110
Uruguay,0,0,1,1
