Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Australia,0,1,4,5
Austria,0,0,1,1
Belgium,0,3,3,6
Bermuda,0,0,1,1
Brazil,0,0,2,2
Bulgaria,6,9,7,22
Canada,0,5,6,11
Cuba,6,4,3,13
Czechoslovakia,2,2,4,8
Democratic People's Republic of Korea,1,1,0,2
Denmark,1,0,2,3
Federal Republic of Germany,10,12,17,39
Finland,4,2,0,6
France,2,3,4,9
German Democratic Republic (Germany),40,25,25,90
Great Britain,3,5,5,13
Hungary,4,5,13,22
Islamic Republic of Iran,0,1,1,2
Italy,2,7,4,13
Jamaica,1,1,0,2
Japan,9,6,10,25
Mexico,1,0,1,2
Mongolia,0,1,0,1
Netherlands,0,2,3,5
New Zealand,2,1,1,4
Norway,1,1,0,2
Pakistan,0,0,1,1
Poland,7,6,13,26
Portugal,0,2,0,2
Puerto Rico,0,0,1,1
Republic of Korea,1,1,4,6
Romania,4,9,14,27
Spain,0,2,0,2
Sweden,4,1,0,5
Switzerland,1,1,2,4
Thailand,0,0,1,1
Trinidad and Tobago,1,0,0,1
USSR,49,41,35,125
United States of America,34,35,25,94
Venezuela,0,1,0,1
Yugoslavia,2,3,3,8
