Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Australia,0,0,1,1
Austria,3,5,9,17
Belarus,0,0,2,2
Belgium,0,0,1,1
Bulgaria,1,0,0,1
Canada,6,5,4,15
Czechia,1,1,1,3
Denmark,0,1,0,1
Finland,2,4,6,12
France,2,1,5,8
Germany,12,9,8,29
Great Britain,0,0,1,1
Italy,2,6,2,10
Japan,5,1,4,10
Kazakhstan,0,0,2,2
Netherlands,5,4,2,11
Norway,10,10,5,25
People's Republic of China,0,6,2,8
Republic of Korea,3,1,2,6
Russian Federation,9,6,3,18
Sweden,0,2,1,3
Switzerland,2,2,3,7
Ukraine,0,1,0,1
United States of America,6,3,4,13
